"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12","Col13","Platform","Source"
"Cost ($ in Millions)","All Prior Years","FY 2012","FY 2013","FY 2014 Base","FY 2014 OCO ","FY 2014 Total","FY 2015","FY 2016","FY 2017","FY 2018","Cost to Complete","Total Cost","NATO AGS",2013
"676001","0","82.745","0","0","-","0","0","0","0","0","0","82.745","NATO AGS",2013
