"Description","Year2","Year4","FirstYearInSequence","Platform","Source","Agency","BudgetActivity"
"P3I Integration Efforts on the LW155","Q3",NA,"1996","LW155 M777","1905-06-19","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Perform Laser Ignition Integration","Q2",NA,"1996","LW155 M777","1905-06-19","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Initiate/Develop Component Simulations","Q2",NA,"1996","LW155 M777","1905-06-19","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Conduct Trade Off Study","Q3",NA,"1996","LW155 M777","1905-06-19","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Initiate Evaluation of Automated FC",NA,"Q1","1996","LW155 M777","1905-06-19","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
