"Description","AllPriorYears","Year1","Year2","Year3","Year4","Year5","Year6","Year7","Year8","Year9","CostToCompleteMil","TotalCostMil","Platform","Section","Source","BudgetAccount"
"Proc Qty",NA,NA,NA,NA,NA,"18","18","72","125","0","40","273","LW155 M777","G01700","2004-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Gross Cost",NA,NA,"1.1",NA,"7.9","37.2","46.8","128.3","191.5","3.5","65.2","481.6","LW155 M777","G01700","2004-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Less PY Adv Proc","0","0","0","0","0","0","0","0","0","0",NA,NA,"LW155 M777","G01700","2004-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Plus CY Adv Proc","0","0","0","0","0","0","0","0","0","0",NA,NA,"LW155 M777","G01700","2004-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Net Proc",NA,NA,"1.1",NA,"7.9","37.2","46.8","128.3","191.5","3.5","65.2","481.6","LW155 M777","G01700","2004-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Initial Spares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2004-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Total Proc Cost",NA,NA,"1.1",NA,"7.9","37.2","46.8","128.3","191.5","3.5","65.2","481.6","LW155 M777","G01700","2004-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2004-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Wpn SysProc U/C",NA,NA,NA,NA,NA,"2.1","2.6","1.8","1.5",NA,"1.6",NA,"LW155 M777","G01700","2004-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
