"Description","AllPriorYears","Year1","Year2","Year3","TotalCostMil","Platform","Section","Source","BudgetAccount"
"Proc Qty","316","38","13","14","421","LW155 M777","G01700","2010-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Gross Cost","733.1","120.9","157.4","62","1073.3","LW155 M777","G01700","2010-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Less PY Adv Proc",NA,NA,NA,NA,NA,"LW155 M777","G01700","2010-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Plus CY Adv Proc",NA,NA,NA,NA,NA,"LW155 M777","G01700","2010-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Net Proc","733.1","120.9","157.4","62","1073.3","LW155 M777","G01700","2010-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Initial Spares",NA,NA,NA,NA,NA,"LW155 M777","G01700","2010-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Total Proc Cost","733.1","120.9","157.4","62","1073.3","LW155 M777","G01700","2010-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Flyaway U/C",NA,NA,NA,NA,NA,"LW155 M777","G01700","2010-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Wpn SysProc U/C",NA,NA,NA,NA,NA,"LW155 M777","G01700","2010-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
