"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Platform","Source"
"2001_vol2.summary - Feb 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1999-02"
"COST (in thousands)","FY 1999 Actual","FY 2000 Estimate","FY 2001 Estimate","FY 2002 Estimate","FY 2003 Estimate","FY 2004 Estimate","FY 2005 Estimate","Cost to Complete","Total Cost","LW155 M777","1999-02"
"Total Program Element Cost","963","4782","20105","54832","238310","464900","438221","Continuing","Continuing","LW155 M777","1999-02"
"D509 Lightweight 155M Howitzer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1999-02"
