"Description","Year2","Year4","Year5","Year6","Year7","Year8","Year9","CostToCompleteMil","TotalCostMil","Platform","Section","Source","BudgetAccount"
"Proc Qty",NA,NA,"28","56","88","38","23","40","271","LW155 M777","G01700","2003-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Gross Cost","1.1","5","51.1","100.7","135.8","59","33.6","74.3","460.7","LW155 M777","G01700","2003-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Less PY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2003-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Plus CY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2003-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Net Proc","1.1","5","51.1","100.7","135.8","59","33.6","74.3","460.7","LW155 M777","G01700","2003-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Initial Spares",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2003-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Total Proc Cost","1.1","5","51.1","100.7","135.8","59","33.6","74.3","460.7","LW155 M777","G01700","2003-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2003-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Wpn SysProc U/C",NA,NA,"1.8","1.8","1.5","1.6","1.5","1.9",NA,"LW155 M777","G01700","2003-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
