"Description","ActualYearMinus2mil","EstimateYearMinus1mil","EstimateYearTotalMil","EstimateYearPlusOneMil","EstimateYearPlusTwoMil","EstimateYearPlusThreeMil","EstimateYearPlusFourMil","EstimateYearPlusFiveMil","CostToCompleteMil","TotalCostMil","Platform","Section"
"2003-02-01 00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","0603635M"
"C2112 Lightweight 155mm howitzer","14.558","11.367","5.828","0","0","0","0","0","0","31.753","LW155 M777","0603635M"
"(U) PMC, BLI #218500, Howitzer, Medium Towed 155MM","0","62.02","111.489","175.543","177.071","73.585","0","0","0","599.708","LW155 M777","0603635M"
