"Events","StartQuarter","StartYear","EndQuarter","EndYear","Platform","Source","Agency","LineItem"
"Feasibility and Concept Studies","1","2015","2","2016","LW155 M777","2015","Army","Project D509"
"Preliminary Designs","2","2016","1","2018","LW155 M777","2015","Army","Project D509"
"Fabrication Prototypes","2","2018","2","2019","LW155 M777","2015","Army","Project D509"
"Technology Demonstrator","3","2019","2","2020","LW155 M777","2015","Army","Project D509"
"Test and Evaluation","3","2020","2","2021","LW155 M777","2015","Army","Project D509"
