"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Platform","Source"
"2003_vol2.2summary - Feb 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1999-02"
"COST (in thousands)","FY 2001 Actual","FY 2002 Estimate","FY 2003 Estimate","FY 2004 Estimate","FY 2005 Estimate","FY 2006 Estimate","Fy 2007 Estimate","Cost to Complete","Total Cost","LW155 M777","1999-02"
"509 Lightweight 155m howitzer","16726","18048","22032","12408","0","0","0","0","74839","LW155 M777","1999-02"
