"Col1","Col2","Col3","Col4","Platform"
"2001 Update GAO",NA,NA,NA,"LW155 M777"
"Program",NA,NA,"Cost Increase from July 2000 to February 2001","LW155 M777"
"US Marine Corps Lightweight Howitzer RDT&E"," 142.6"," 162.8","20.2","LW155 M777"
"US Marine Corps Lightweight Howitzer and Towed Artillery Digitization Upgrade Production"," 492.6"," 543.0","50.4","LW155 M777"
"Army Towed Artillery Digitization Upgrade RDT&E","  43.8","  52.3","8.5","LW155 M777"
"Army Lightweight Howitzer and Towed Artillery Digitization Upgrade Production"," 450.9"," 492.1","41.2","LW155 M777"
"Total","1129.9","1250.2","120.3","LW155 M777"
