"Events","StartQuarter","StartYear","EndQuarter","EndYear","Platform","Source","Agency","LineItem"
"M777 Engineering Tools Development & Validation","1","2015","2","2016","LW155 M777","1905-07-08","Army","Project D509"
"XM907 Common Cannon Assembly Support","1","2015","2","2019","LW155 M777","1905-07-08","Army","Project D509"
"Objective M777ER Design, Analysis & Drawings","1","2015","2","2018","LW155 M777","1905-07-08","Army","Project D509"
"Objective M777ER Component Fabrication","2","2018","2","2019","LW155 M777","1905-07-08","Army","Project D509"
"Integration","2","2019","2","2020","LW155 M777","1905-07-08","Army","Project D509"
