"Description","AllPriorYears","Year1","Year2","Year3","Year4","Year5","Year6","Year7","CostToCompleteMil","TotalCostMil","FirstYearInSequence","Platform","Section","Source","BudgetAccount"
"Proc Qty","35","78","185","38","13","12","16","17","40","434","2007","LW155 M777","G01700","2008-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Gross Cost","95","172.2","411","113.2","35.8","35.8","46.7","46.7","92","1051.6","2007","LW155 M777","G01700","2008-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Less PY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007","LW155 M777","G01700","2008-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Plus CY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007","LW155 M777","G01700","2008-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Net Proc","95","172.2","411","113.2","35.8","35.8","46.7","46.7","92","1051.6","2007","LW155 M777","G01700","2008-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Initial Spares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007","LW155 M777","G01700","2008-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Total Proc Cost","95","172.2","411","113.2","35.8","35.8","46.7","46.7","92","1051.6","2007","LW155 M777","G01700","2008-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007","LW155 M777","G01700","2008-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Wpn SysProc U/C","2.7","2.2","2.2","3","2.9","3","2.9","2.7","2.3","24","2007","LW155 M777","G01700","2008-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
