"Description","ActualYearMinus2mil","EstimateYearMinus1mil","EstimateYearTotalMil","EstimateYearPlusOneMil","EstimateYearPlusTwoMil","EstimateYearPlusThreeMil","EstimateYearPlusFourMil","EstimateYearPlusFiveMil","CostToCompleteMil","TotalCostMil","Platform","Section","Source"
"C2112 Howitzer, Medium Towed 155MM XM777 (LW 155)","36180","32332","23237","12105","0","0","0","0","0","131931","LW155 M777","0603635M","1999-02"
"(U) PMC, BLI #218500, Howitzer, Medium Towed 155MM","0","0","0","9763","91427","115455","144231","88241","0","449107","LW155 M777","0603635M","1999-02"
