"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Platform","Source"
"Other Program Funding Summary","FY 2002","FY 2003","FY 2004","FY 2005","FY 2006","FY 2007","FY 2008","FY 2009","Cost Complete","Total Cost","LW155 M777","1999-02"
"RDTE, Navy LW155 Towed How 060363M","14494","11633","5970","0","0","0","0","0","0","32097","LW155 M777","1999-02"
"Procurement, Marine Crops LW 155 Towed Howitzer with TAD Prod, Bli 218500","0","62643","111489","179325","181183","75363","0","0","0","610003","LW155 M777","1999-02"
"Procurement, WTCV, Army, LW155 with TAD G01700","1091","0","4998","51079","100720","135844","58999","33604","74300","460653","LW155 M777","1999-02"
