"Description","AllPriorYears","Year1","Year2","Year3Base","Year3","Year4","TotalCostMil","FirstYearInSequence","Platform","Section","Source","BudgetAccount"
"Proc Qty","354","53","14",NA,NA,NA,"421","2010","LW155 M777","G01700","2011-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Gross Cost","852","157.4","62","13.1","13.1","13.7","1098.1","2010","LW155 M777","G01700","2011-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Less PY Adv Proc",NA,NA,NA,NA,NA,NA,NA,"2010","LW155 M777","G01700","2011-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Plus CY Adv Proc",NA,NA,NA,NA,NA,NA,NA,"2010","LW155 M777","G01700","2011-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Net Proc","852","157.4","62","13.1","13.1","13.7","1098.1","2010","LW155 M777","G01700","2011-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Initial Spares",NA,NA,NA,NA,NA,NA,NA,"2010","LW155 M777","G01700","2011-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Total Proc Cost","852","157.4","62","13.1","13.1","13.7","1098.1","2010","LW155 M777","G01700","2011-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,NA,"2010","LW155 M777","G01700","2011-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Wpn SysProc U/C","2.4","3","4.4",NA,NA,NA,"2.6","2010","LW155 M777","G01700","2011-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
