"Description","Year1Actual","Year2Estimate","Year3Estimate","Year4Estimate","Year5Estimate","Year6Estimate","Year7Estimate","CostToCompleteMil","TotalCostMil","Unit","FirstYearInSequence","Platform","Source","BudgetAccount","LineItem"
"509 Lightweight 155m howitzer","24279","31744","8772","971","0","0","0","0","109972","Then Year $T","2003","LW155 M777","2004-02","RDT&E Budget Activity 5 - System Design and Development","Other Program Element"
"RDTE, Navy LW155 Towed How 060363M","13166","5828","0","0","0","0","0","0","33488","Then Year $T","2003","LW155 M777","2004-02","RDT&E Budget Activity 5 - System Design and Development","Other Program Element"
"Procurement, Marine Crops LW 155 Towed Howitzer with TAD Prod, Bli 218500","62020","111489","175543","177071","73585","0","0","0","599708","Then Year $T","2003","LW155 M777","2004-02","RDT&E Budget Activity 5 - System Design and Development","Other Program Element"
"Procurement, WTCV, Army, LW155 with TAD G01700","0","7939","37209","46786","128285","191542","3509","65200","481561","Then Year $T","2003","LW155 M777","2004-02","RDT&E Budget Activity 5 - System Design and Development","Other Program Element"
