"Description","ActualYearMinus2mil","EstimateYearMinus1mil","EstimateYearTotalMil","EstimateYearPlusOneMil","EstimateYearPlusTwoMil","EstimateYearPlusThreeMil","EstimateYearPlusFourMil","CostToCompleteMil","TotalCostMil","Unit","Platform","Source","LineItem"
"RDTE, Navy LW155 Towed How 060363M","14125","13203","11700","6000","0","0","0","0","71373","Then Year $T","LW155 M777","2002-02","Other Program Element"
"Procurement, Marine Crops LW 155 Towed Howitzer with TAD Prod, Bli 218500","11004","0","63054","112371","181017","183329","76400","0","627175","Then Year $T","LW155 M777","2002-02","Other Program Element"
"Procurement, WTCV, Army, LW155 with TAD G01700","0","1099","0","21011","58327","104038","139142","138500","462117","Then Year $T","LW155 M777","2002-02","Other Program Element"
