"Description","Year5","Year6","Year7","Year8","Year9","FirstYearInSequence","Platform","Source","Agency","BudgetActivity"
"MS I/II","1st Qtr",NA,NA,NA,NA,"1996","LW155 M777","1999","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Contract Awar","2nd Qtr",NA,NA,NA,NA,"1996","LW155 M777","1999","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Developmental Testing Begins",NA,"1st Qtr",NA,NA,NA,"1996","LW155 M777","1999","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Developmental Testing Ends",NA,NA,"4th Qtr",NA,NA,"1996","LW155 M777","1999","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Multi-service Operational Testing Begins",NA,NA,NA,"1st Qtr",NA,"1996","LW155 M777","1999","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Multi-Service Operational Testing Ends",NA,NA,NA,"2nd Qtr",NA,"1996","LW155 M777","1999","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Milestone III",NA,NA,NA,"4th Qtr",NA,"1996","LW155 M777","1999","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Production",NA,NA,NA,NA,"1st Qtr","1996","LW155 M777","1999","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
