"Description","Year1","Year2","Year3","Year4","FirstYearInSequence","Platform","Source","Agency","BudgetActivity"
"TAD Design","1-4Q","1-4Q","1-2Q",NA,"2001","LW155 M777","1905-06-24","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"TAD Technical Testing",NA,NA,"2-4Q",NA,"2001","LW155 M777","1905-06-24","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Begin Technical Testing and Conduct Logistics Demonstration",NA,NA,NA,"1-2Q","2001","LW155 M777","1905-06-24","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"TAD Multi-service Operational Test ",NA,NA,NA,"3Q","2001","LW155 M777","1905-06-24","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"TAD Milestone C",NA,NA,NA,"4Q","2001","LW155 M777","1905-06-24","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
