"Description","ActualYearMinus2mil","EstimateYearMinus1mil","EstimateYearTotalMil","EstimateYearPlusOneMil","EstimateYearPlusTwoMil","EstimateYearPlusThreeMil","EstimateYearPlusFourMil","CostToCompleteMil","TotalCostMil","Subsection","Unit","Platform","Source"
"System Development and Demonstration",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RDT&E Budget Activity 5 - System Design and Development","Then Year $T","LW155 M777","2004-02"
"509 Lightweight 155m howitzer","24279","31744","8772","971","0","0","0","0","109972",NA,"Then Year $T","LW155 M777","2004-02"
"RDTE, Navy LW155 Towed How 060363M","13166","5828","0","0","0","0","0","0","33488",NA,"Then Year $T","LW155 M777","2004-02"
"Procurement, Marine Crops LW 155 Towed Howitzer with TAD Prod, Bli 218500","62020","111489","175543","177071","73585","0","0","0","599708",NA,"Then Year $T","LW155 M777","2004-02"
"Procurement, WTCV, Army, LW155 with TAD G01700","0","7939","37209","46786","128285","191542","3509","65200","481561",NA,"Then Year $T","LW155 M777","2004-02"
