"Description","AllPriorYears","Year1","Year2","Year3","TotalCostMil","Platform","Section","Source","BudgetAccount"
"Proc Qty","113","185","38","13","407","LW155 M777","G01700","2009-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Gross Cost","268.2","470.6","112.9","157.6","1009.2","LW155 M777","G01700","2009-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Less PY Adv Proc",NA,NA,NA,NA,NA,"LW155 M777","G01700","2009-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Plus CY Adv Proc",NA,NA,NA,NA,NA,"LW155 M777","G01700","2009-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Net Proc","268.2","470.6","112.9","157.6","1009.2","LW155 M777","G01700","2009-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Initial Spares",NA,NA,NA,NA,NA,"LW155 M777","G01700","2009-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Total Proc Cost","268.2","470.6","112.9","157.6","1009.2","LW155 M777","G01700","2009-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Flyaway U/C","0","0","0","0","0","LW155 M777","G01700","2009-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Wpn SysProc U/C","2.4","2.3","3","3","10.6","LW155 M777","G01700","2009-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
