"Description","AllPriorYears","ActualYearMinus2mil","EstimateYearMinus1mil","EstimateYearBaseMil","EstimateYearOCOmil","EstimateYearTotalMil","EstimateYearPlusOneMil","EstimateYearPlusTwoMil","EstimateYearPlusThreeMil","EstimateYearPlusFourMil","Unit","Platform","Source"
"RDTE, N LW155 Towed How 060363M","70400","31910","27117","13153",NA,NA,NA,NA,NA,"142580","Then Year $T","LW155 M777","2000-02"
"PMC LW 155 Towed How Prod, Bli 218500",NA,NA,NA,"11105","90055","197065","142352","238",NA,"440815","Then Year $T","LW155 M777","2000-02"
"Procurement, WTCV, Army, G01700",NA,NA,NA,NA,NA,"7436","26481","41996","374900","450912","Then Year $T","LW155 M777","2000-02"
