"Description","Year4","Year6","Year7","Year8","Year9","CostToCompleteMil","TotalCostMil","Platform","Section","Source","BudgetAccount"
"Proc Qty",NA,"10","47","40","89","87","273","LW155 M777","G01700","2002-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Gross Cost","1.1","21","58.3","104","139.1","138.5","462.1","LW155 M777","G01700","2002-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Less PY Adv Proc",NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2002-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Plus CY Adv Proc",NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2002-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Net Proc","1.1","21","58.3","104","139.1","138.5","462.1","LW155 M777","G01700","2002-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Initial Spares",NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2002-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Total Proc Cost","1.1","21","58.3","104","139.1","138.5","462.1","LW155 M777","G01700","2002-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2002-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Wpn SysProc U/C",NA,"2.1","1.2","2.6","1.6","1.6",NA,"LW155 M777","G01700","2002-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
