"Description","AllPriorYears","Year1","Year2","Year3","Year4","Year5","CostToCompleteMil","TotalCostMil","Platform","Section","Source","BudgetAccount"
"Proc Qty",NA,"16","19","85","126",NA,"40","286","LW155 M777","G01700","2006-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Gross Cost","9","37","47.5","187.5","267.6","7","92","647.7","LW155 M777","G01700","2006-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Less PY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2006-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Plus CY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2006-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Net Proc","9","37","47.5","187.5","267.6","7","92","647.7","LW155 M777","G01700","2006-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Initial Spares",NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2006-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Total Proc Cost","9","37","47.5","187.5","267.6","7","92","647.7","LW155 M777","G01700","2006-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2006-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Wpn SysProc U/C",NA,"2.3","2.5","2.2","2.1",NA,"2.3","2.3","LW155 M777","G01700","2006-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
