"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Platform"
"1999 - Army",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Budget Activity 5 - Engineering and Manufacturing Development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Schedule Profile - Project D509","FY 1996","FY 1997","FY 1998","FY 1999","FY 2000","FY 2001","FY 2002","FY 2003","FY 2004","FY 2005","LW155 M777"
"MS I/II",NA,NA,NA,NA,"1st Qtr",NA,NA,NA,NA,NA,"LW155 M777"
"Contract Awar",NA,NA,NA,NA,"2nd Qtr",NA,NA,NA,NA,NA,"LW155 M777"
"Developmental Testing Begins",NA,NA,NA,NA,NA,"1st Qtr",NA,NA,NA,NA,"LW155 M777"
"Developmental Testing Ends",NA,NA,NA,NA,NA,NA,"4th Qtr",NA,NA,NA,"LW155 M777"
"Multi-service Operational Testing Begins",NA,NA,NA,NA,NA,NA,NA,"1st Qtr",NA,NA,"LW155 M777"
"Multi-Service Operational Testing Ends",NA,NA,NA,NA,NA,NA,NA,"2nd Qtr",NA,NA,"LW155 M777"
"Milestone III",NA,NA,NA,NA,NA,NA,NA,"4th Qtr",NA,NA,"LW155 M777"
"Production",NA,NA,NA,NA,NA,NA,NA,NA,"1st Qtr",NA,"LW155 M777"
