"Description","AllPriorYears","Year1","Year2","Year3","Year4","Year5","Year6","Year7","Year8","CostToCompleteMil","TotalCostMil","Platform","Section","Source","BudgetAccount"
"Proc Qty","16","19","78","126","13","13","12","16","17","18","328","LW155 M777","G01700","2007-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Gross Cost","46.1","50","172.2","270.3","44.2","38.4","36.1","47.1","47.1","72.1","823.5","LW155 M777","G01700","2007-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Less PY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2007-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Plus CY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2007-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Net Proc","46.1","50","172.2","270.3","44.2","38.4","36.1","47.1","47.1","72.1","823.5","LW155 M777","G01700","2007-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Initial Spares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2007-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Total Proc Cost","46.1","50","172.2","270.3","44.2","38.4","36.1","47.1","47.1","72.1","823.5","LW155 M777","G01700","2007-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2007-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Wpn SysProc U/C","2.9","2.6","2.2","2.1","3.4","3","3","2.9","2.8","4","28.9","LW155 M777","G01700","2007-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
