"Description","ActualYearMinus2mil","EstimateYearMinus1mil","EstimateYearTotalMil","EstimateYearPlusOneMil","EstimateYearPlusTwoMil","EstimateYearPlusThreeMil","EstimateYearPlusFourMil","CostToCompleteMil","TotalCostMil","Platform","Source"
"Total Program Element Cost","0","0","0","5000","106000","5300","7700","0","28600","LW155 M777","1998-02"
"D509 ATCAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1998-02"
