"Description","AllPriorYears","Year1","Year2","Year3Base","Year3OCO","Year3","Year4","Year5","Year6","Year7","CostToCompleteMil","TotalCostMil","FirstYearInSequence","Platform","Section","Source","BudgetAccount"
"Proc Qty","-","-","-","-","-","-","-","-","-","-","-","-","2012","LW155 M777","G01700","2013-04","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Gross/Weapon System Cost","1224.395","13.066","13.827","-","-","-","-","-","-","-","Continuing","Continuing","2012","LW155 M777","G01700","2013-04","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Less PY Adv Proc","-","-","-","-","-","-","-","-","-","-","-","-","2012","LW155 M777","G01700","2013-04","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Net Proc","1224.395","13.066","13.827","-","-","-","-","-","-","-","Continuing","Continuing","2012","LW155 M777","G01700","2013-04","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Plus CY Adv Proc","-","-","-","-","-","-","-","-","-","-","-","-","2012","LW155 M777","G01700","2013-04","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Total Obligation Authority","1224.395","13.066","13.827","-","-","-","-","-","-","-","Continuing","Continuing","2012","LW155 M777","G01700","2013-04","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
