"Description","AllPriorYears","Year2","Year3","Year4","Year5","Year6","Year7","CostToCompleteMil","TotalCostMil","Platform","Section","Source","BudgetAccount"
"Proc Qty",NA,NA,NA,"19","73","125",NA,"40","273","LW155 M777","G01700","2005-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Gross Cost","1.1","7.9","37.1","46.8","155.9","253.5","7.1","92","601.4","LW155 M777","G01700","2005-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Less PY Adv Proc","0",NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2005-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Plus CY Adv Proc","0",NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2005-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Net Proc","1.1","7.9","37.1","46.8","155.9","253.5","7.1","92","601.4","LW155 M777","G01700","2005-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Initial Spares",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2005-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Total Proc Cost","1.1","7.9","37.1","46.8","155.9","253.5","7.1","92","601.4","LW155 M777","G01700","2005-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","G01700","2005-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
"Wpn SysProc U/C",NA,NA,"2.3","2.5","2.1","2",NA,"2.3",NA,"LW155 M777","G01700","2005-02","Procurement of W&TCV, Army - 2 Weapons and Other Combat Vehicles"
