"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Platform","Source"
"2002_vol2.2summary - June 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1999-02"
"COST (in thousands)","FY 2000 Actual","FY 2001 Estimate","FY 2002 Estimate","FY 2003 Estimate","FY 2004 Estimate","FY 2005 Estimate","FY 2006 Estimate","Fy 2007 Estimate","Cost to Complete","Total Cost","LW155 M777","1999-02"
"509 Lightweight 155m howitzer","4662","17224","18199","0","0","0","0","0","0","0","LW155 M777","1999-02"
