"Description","ActualYearMinus2mil","EstimateYearMinus1mil","EstimateYearTotalMil","EstimateYearPlusOneMil","EstimateYearPlusTwoMil","EstimateYearPlusThreeMil","EstimateYearPlusFourMil","CostToCompleteMil","TotalCostMil","Platform","Section"
"1998-02-01 00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","0603635M"
"C2112 Howitzer, Medium Towed 155MM (LW155)","13564","37635","25409","8349","0","0","0","0","107672","LW155 M777","0603635M"
"(U) PMC, BLI #218500, Howitzer, Medium Towed 155MM","0","0","10002","86328","116786","121586","117658","100003","552363","LW155 M777","0603635M"
