"Description","ActualYearMinus2mil","EstimateYearMinus1mil","EstimateYearTotalMil","EstimateYearPlusOneMil","EstimateYearPlusTwoMil","EstimateYearPlusThreeMil","EstimateYearPlusFourMil","EstimateYearPlusFiveMil","CostToCompleteMil","TotalCostMil","Platform","Section"
"2001-06-01 00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","0603635M"
"C2112 Lightweight 155mm howitzer","26.345","12.998","18.203","0","0","0","0","0","0","57.546","LW155 M777","0603635M"
"(U) PMC, BLI #218500, Howitzer, Medium Towed 155MM","0","11.004","0","0","0","0","0","0","0","Cont.","LW155 M777","0603635M"
