"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Platform","Source"
"2007_vol2.2summary - Feb 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1999-02"
"Budget Activity 5 - System Development and Demonstration ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1999-02"
"COST (in thousands) ","FY 2005 Actual","FY 2006 Actual","FY 2007 Actual","FY 2008 Actual","FY 2009 Actual","FY 2010 Actual","FY 2011 Actual","Cost to Complete","Total Cost ","LW155 M777","1999-02"
"509 Lightweight 155M Howitzer","8397","667","0","6009","5616","5778","0","0","82295","LW155 M777","1999-02"
