"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12","Col13","Platform"
"2006_wctv G01700 - Feb 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Appropriations Budget Activity/Serial Number",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Procurement of W&TCV, Army /2/ Weapons and Other Combat Vehicles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
NA,"Prior Years","FY 2003","FY 2004","FY 2005","FY 2006","FY 2007","FY 2008","FY 2009","FY 2010","FY 2011","To Complete","Total Program","LW155 M777"
"Proc Qty",NA,NA,NA,NA,"19","73","125",NA,NA,NA,"40","273","LW155 M777"
"Gross Cost","1.1",NA,"7.9","37.1","46.8","155.9","253.5","7.1",NA,NA,"92","601.4","LW155 M777"
"Less PY Adv Proc","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Plus CY Adv Proc","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Net Proc","1.1",NA,"7.9","37.1","46.8","155.9","253.5","7.1",NA,NA,"92","601.4","LW155 M777"
"Initial Spares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Total Proc Cost","1.1",NA,"7.9","37.1","46.8","155.9","253.5","7.1",NA,NA,"92","601.4","LW155 M777"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Wpn SysProc U/C",NA,NA,NA,"2.3","2.5","2.1","2",NA,NA,NA,"2.3",NA,"LW155 M777"
