"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Platform"
"2011_wctv G01700 - Feb 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Appropriations Budget Activity/Serial Number",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Procurement of W&TCV, Army /2/ Weapons and Other Combat Vehicles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
NA,"Prior Years","FY 2009","FY 2010","FY 2011","FY 2012","FY 2013","FY 2014","FY 2015","To Complete","Total Prog","LW155 M777"
"Proc Qty","316","38","13","14",NA,NA,NA,NA,NA,"421","LW155 M777"
"Gross Cost","733.1","120.9","157.4","62",NA,NA,NA,NA,NA,"1073.3","LW155 M777"
"Less PY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Plus CY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Net Proc","733.1","120.9","157.4","62",NA,NA,NA,NA,NA,"1073.3","LW155 M777"
"Initial Spares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Total Proc Cost","733.1","120.9","157.4","62",NA,NA,NA,NA,NA,"1073.3","LW155 M777"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Wpn SysProc U/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
