"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Platform","Source"
"2006_vol2.2summary - Feb 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1999-02"
"Budget Activity 5 - System Development and Demonstration ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1999-02"
"COST (in thousands) ","FY 2004 Actual","FY 2005 Actual ","FY 2006 Actual","FY 2007 Actual ","FY 2008 Actual","FY 2009 Actual ","FY 2010 Actual","Cost to Complete","Total Cost ","LW155 M777","1999-02"
"509 Lightweight 155M Howitzer","30629","8403","677","0","5918","5528","5684","0","0","LW155 M777","1999-02"
