"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Platform","Source"
"2005_vol2.2summary - Feb 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1999-02"
"System Development and Demonstration",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1999-02"
"COST (in thousands)","FY 2003 Actual","FY 2004 Estimate","FY 2005 Estimate","FY 2006 Estimate","FY 2007 Estimate","FY 2008 Estimate","FY 2009 Estimate","Cost to Complete","Total Cost","LW155 M777","1999-02"
"509 Lightweight 155m howitzer","24279","31744","8772","971","0","0","0","0","109972","LW155 M777","1999-02"
"RDTE, Navy LW155 Towed How 060363M","13166","5828","0","0","0","0","0","0","33488","LW155 M777","1999-02"
"Procurement, Marine Crops LW 155 Towed Howitzer with TAD Prod, Bli 218500","62020","111489","175543","177071","73585","0","0","0","599708","LW155 M777","1999-02"
"Procurement, WTCV, Army, LW155 with TAD G01700","0","7939","37209","46786","128285","191542","3509","65200","481561","LW155 M777","1999-02"
