"Col1","Col2","Col3","Col4","Col5","Platform"
"2016 - Army","Start",NA,"End",NA,"LW155 M777"
"Budget Activity 5 - Engineering and Manufacturing Development","Quarter","Year","Quarter","Year","LW155 M777"
"Schedule Profile - Project D509",NA,NA,NA,NA,"LW155 M777"
"M777 Engineering Tools Development & Validation","1","2015","2","2016","LW155 M777"
"XM907 Common Cannon Assembly Support","1","2015","2","2019","LW155 M777"
"Objective M777ER Design, Analysis & Drawings","1","2015","2","2018","LW155 M777"
"Objective M777ER Component Fabrication","2","2018","2","2019","LW155 M777"
"Integration","2","2019","2","2020","LW155 M777"
