"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Platform"
"2007_wctv G01700 Feb 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Appropriations Budget Activity/Serial Number",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Procurement of W&TCV, Army /2/ Weapons and Other Combat Vehicles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
NA,"Prior Years","FY 2005","FY 2006","FY 2007","FY 2008","FY 2009","FY 2010","FY 2011","To Complete","Total Program","LW155 M777"
"Proc Qty",NA,"16","19","85","126",NA,NA,NA,"40","286","LW155 M777"
"Gross Cost","9","37","47.5","187.5","267.6","7",NA,NA,"92","647.7","LW155 M777"
"Less PY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Plus CY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Net Proc","9","37","47.5","187.5","267.6","7",NA,NA,"92","647.7","LW155 M777"
"Initial Spares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Total Proc Cost","9","37","47.5","187.5","267.6","7",NA,NA,"92","647.7","LW155 M777"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Wpn SysProc U/C",NA,"2.3","2.5","2.2","2.1",NA,NA,NA,"2.3","2.3","LW155 M777"
