"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Platform","Source"
"2004_vol2.2summary - Feb 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1999-02"
"System Development and Demonstration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777","1999-02"
"COST (in thousands)","FY 2002 Actual","FY 2003 Estimate","FY 2004 Estimate","FY 2005 Estimate","FY 2006 Estimate","FY 2007 Estimate","FY 2008 Estimate","FY 2009 Estimate","Cost to Complete","Total Cost","LW155 M777","1999-02"
"509 Lightweight 155m howitzer","18874","21045","32078","8850","980","0","0","0","0","107159","LW155 M777","1999-02"
