"","Cost.Summary","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6"
"37",NA,"SAR Baseline","Current APB Development","Current Estimate",NA,NA,NA,NA
"38","Quantity","Dev Est",NA,NA,NA,NA,NA,NA
"39","RDT&E ","0","0","0",NA,NA,NA,NA
"40","Procurement ","48","48","0",NA,NA,NA,NA
"41","Total","48","48","0",NA,NA,NA,NA
